transaction_id,transaction_date,customer_id,product,amount_usd,currency,processor,segment,status,processor_ref
TX000001,2024-01-01,CUST0183,subscription_annual,942.04,USD,Stripe,SMB,succeeded,0175C712-E12
TX000002,2024-01-01,CUST0057,api_usage,24.97,USD,Adyen,SMB,succeeded,189AF22B-19B
TX000003,2024-01-01,CUST0145,subscription_monthly,140.02,USD,Adyen,SMB,succeeded,6A448F7E-2E3
TX000004,2024-01-01,CUST0423,subscription_monthly,64.12,USD,Stripe,Mid-Market,succeeded,0614B871-1C2
TX000005,2024-01-01,CUST0090,subscription_monthly,35.05,USD,PayPal,Mid-Market,succeeded,DBCC65C0-64D
TX000006,2024-01-01,CUST0452,subscription_monthly,126.32,USD,Stripe,SMB,succeeded,0A1FD087-2D7
TX000007,2024-01-01,CUST0311,subscription_annual,2406.09,USD,Stripe,Mid-Market,succeeded,859D69EA-7E0
TX000008,2024-01-01,CUST0045,api_usage,285.26,USD,Stripe,SMB,succeeded,D5A27441-F1D
TX000009,2024-01-01,CUST0460,subscription_monthly,113.45,USD,Stripe,SMB,succeeded,D8999B59-252
TX000010,2024-01-02,CUST0257,subscription_monthly,205.67,USD,Stripe,SMB,succeeded,6101A412-E28
TX000011,2024-01-02,CUST0021,subscription_annual,916.45,USD,Adyen,SMB,succeeded,2DBB5C94-8D9
TX000012,2024-01-02,CUST0467,api_usage,12.12,USD,Stripe,SMB,succeeded,7A07FB90-615
TX000013,2024-01-02,CUST0021,subscription_monthly,235.38,USD,Stripe,Enterprise,succeeded,5BA4B39C-976
TX000014,2024-01-02,CUST0052,subscription_annual,1974.11,USD,Stripe,SMB,succeeded,85A15A0D-268
TX000015,2024-01-02,CUST0338,subscription_monthly,234.82,USD,Flutterwave,SMB,succeeded,A9604090-57A
TX000016,2024-01-03,CUST0171,subscription_monthly,39.51,USD,Stripe,SMB,succeeded,C98A1F31-A07
TX000017,2024-01-03,CUST0436,professional_services,4267.04,USD,Stripe,Mid-Market,succeeded,BEB8C3FB-07C
TX000018,2024-01-03,CUST0067,professional_services,3287.87,USD,Adyen,Mid-Market,succeeded,B8FE4EBE-543
TX000019,2024-01-03,CUST0113,subscription_monthly,181.12,USD,Flutterwave,Mid-Market,succeeded,43B08E82-0F9
TX000020,2024-01-04,CUST0300,professional_services,3310.76,USD,Stripe,Enterprise,succeeded,77CB2538-518
TX000021,2024-01-04,CUST0160,transaction_fee,129.8,USD,Adyen,Enterprise,succeeded,1BD4A023-CF0
TX000022,2024-01-04,CUST0266,api_usage,295.53,USD,PayPal,Mid-Market,succeeded,AADAA55D-25F
TX000023,2024-01-04,CUST0320,subscription_annual,1858.57,USD,Adyen,SMB,succeeded,2AF983EC-1A3
TX000024,2024-01-04,CUST0232,subscription_annual,2964.83,USD,Stripe,Mid-Market,succeeded,8EA399C6-39A
TX000025,2024-01-04,CUST0463,subscription_annual,2333.17,USD,Adyen,SMB,succeeded,323D5F50-B64
TX000026,2024-01-04,CUST0325,transaction_fee,66.9,USD,Stripe,Mid-Market,succeeded,88ACF9A7-FE3
TX000027,2024-01-04,CUST0068,subscription_monthly,220.0,USD,Adyen,Mid-Market,succeeded,DAF9444F-62F
TX000028,2024-01-05,CUST0028,subscription_monthly,134.09,USD,PayPal,Mid-Market,succeeded,6545087C-5D6
TX000029,2024-01-05,CUST0437,subscription_monthly,90.8,USD,Stripe,SMB,succeeded,3DBCC31C-47A
TX000030,2024-01-05,CUST0116,transaction_fee,89.93,USD,PayPal,Mid-Market,succeeded,264E9EA3-BF4
TX000031,2024-01-05,CUST0051,subscription_monthly,279.61,USD,Stripe,Enterprise,succeeded,FDF3436B-92C
TX000032,2024-01-05,CUST0181,transaction_fee,139.44,USD,PayPal,SMB,succeeded,1AF3DE92-D01
TX000033,2024-01-05,CUST0260,professional_services,2038.57,USD,Adyen,SMB,succeeded,C7C9467B-35B
TX000034,2024-01-05,CUST0079,subscription_monthly,171.47,USD,Stripe,Mid-Market,succeeded,E99554D4-197
TX000035,2024-01-05,CUST0273,transaction_fee,32.53,USD,Stripe,Enterprise,succeeded,C468BA1D-8B6
TX000036,2024-01-06,CUST0108,subscription_annual,2978.2,USD,Flutterwave,SMB,succeeded,AD342FCB-84D
TX000037,2024-01-06,CUST0451,api_usage,490.65,USD,Stripe,SMB,succeeded,7B8EC343-B42
TX000038,2024-01-06,CUST0074,subscription_monthly,204.37,USD,Stripe,SMB,succeeded,8C6E4853-274
TX000039,2024-01-06,CUST0175,transaction_fee,120.86,USD,Stripe,SMB,succeeded,3E322CDD-3A7
TX000040,2024-01-07,CUST0490,transaction_fee,107.55,USD,Adyen,Enterprise,succeeded,A36CAA60-CAB
TX000041,2024-01-07,CUST0184,api_usage,298.61,USD,Adyen,Mid-Market,succeeded,0D3BDFA1-644
TX000042,2024-01-07,CUST0023,transaction_fee,8.95,USD,Stripe,Mid-Market,succeeded,464F91C0-EE3
TX000043,2024-01-07,CUST0274,subscription_annual,1517.86,USD,Stripe,SMB,succeeded,DB801AAA-92A
TX000044,2024-01-07,CUST0129,transaction_fee,101.54,USD,Stripe,Mid-Market,succeeded,260E7542-F43
TX000045,2024-01-07,CUST0291,api_usage,340.38,USD,Stripe,SMB,succeeded,145CC5B8-AB3
TX000046,2024-01-07,CUST0320,subscription_annual,1297.43,USD,Stripe,SMB,succeeded,A0EB2857-4E8
TX000047,2024-01-08,CUST0186,subscription_monthly,283.26,USD,PayPal,SMB,succeeded,15686238-463
TX000048,2024-01-08,CUST0479,api_usage,87.84,USD,Stripe,SMB,succeeded,8D8E6FBC-879
TX000049,2024-01-08,CUST0059,transaction_fee,75.55,USD,Stripe,SMB,succeeded,B7090EC5-3CC
TX000050,2024-01-08,CUST0492,transaction_fee,103.94,USD,Stripe,SMB,succeeded,B95D0647-99D
TX000051,2024-01-08,CUST0001,subscription_monthly,217.23,USD,Flutterwave,SMB,succeeded,7FF89BF1-560
TX000052,2024-01-08,CUST0131,transaction_fee,97.65,USD,Flutterwave,SMB,succeeded,FAF5183D-10D
TX000053,2024-01-09,CUST0067,subscription_monthly,103.33,USD,PayPal,Mid-Market,succeeded,9AE7B8FB-FA3
TX000054,2024-01-09,CUST0293,transaction_fee,24.27,USD,Stripe,SMB,succeeded,F5C45CEC-E29
TX000055,2024-01-09,CUST0467,subscription_monthly,200.7,USD,Stripe,Enterprise,succeeded,E0ED25DF-DDE
TX000056,2024-01-09,CUST0285,transaction_fee,90.3,USD,Stripe,SMB,succeeded,4B6DA75F-F05
TX000057,2024-01-09,CUST0089,professional_services,1307.1,USD,Stripe,Mid-Market,succeeded,94C2CA9D-AF0
TX000058,2024-01-09,CUST0417,subscription_monthly,219.39,USD,Adyen,Mid-Market,succeeded,B305EB40-CE9
TX000059,2024-01-09,CUST0100,professional_services,2548.27,USD,PayPal,Enterprise,succeeded,1BC9EC7C-D54
TX000060,2024-01-09,CUST0189,subscription_annual,2092.95,USD,Square,Mid-Market,succeeded,E0F0813B-E2A
TX000061,2024-01-10,CUST0477,api_usage,419.5,USD,PayPal,SMB,succeeded,699EE4DD-5B2
TX000062,2024-01-10,CUST0378,transaction_fee,26.29,USD,Stripe,SMB,succeeded,76730320-F50
TX000063,2024-01-10,CUST0346,subscription_annual,341.69,USD,Adyen,SMB,succeeded,B7EE513F-D01
TX000064,2024-01-10,CUST0388,transaction_fee,117.09,USD,Stripe,SMB,succeeded,77F4806D-7BE
TX000065,2024-01-10,CUST0241,api_usage,306.8,USD,Stripe,SMB,succeeded,FA304808-C5D
TX000066,2024-01-11,CUST0270,subscription_annual,2179.03,USD,PayPal,Mid-Market,succeeded,F5EA1529-770
TX000067,2024-01-11,CUST0498,subscription_monthly,255.3,USD,Stripe,SMB,succeeded,8BA5ABF2-36E
TX000068,2024-01-11,CUST0219,transaction_fee,120.62,USD,Stripe,Mid-Market,succeeded,5E735A15-10C
TX000069,2024-01-11,CUST0417,transaction_fee,144.18,USD,Stripe,Enterprise,succeeded,B914E911-DAB
TX000070,2024-01-11,CUST0406,transaction_fee,80.85,USD,Adyen,Mid-Market,succeeded,2C8A45D2-A0B
TX000071,2024-01-12,CUST0176,transaction_fee,73.79,USD,PayPal,Mid-Market,succeeded,9D644C1D-8EF
TX000072,2024-01-12,CUST0387,subscription_annual,1375.1,USD,Stripe,Mid-Market,succeeded,9EAD137E-055
TX000073,2024-01-12,CUST0471,transaction_fee,23.9,USD,PayPal,SMB,succeeded,26FDA5C3-DDF
TX000074,2024-01-12,CUST0341,subscription_monthly,183.6,USD,Stripe,SMB,succeeded,8DEA8E1B-2D7
TX000075,2024-01-12,CUST0233,subscription_annual,1037.93,USD,Stripe,Enterprise,succeeded,38DF1185-18E
TX000076,2024-01-12,CUST0151,subscription_monthly,277.75,USD,PayPal,Enterprise,succeeded,E9BDB576-680
TX000077,2024-01-12,CUST0452,subscription_monthly,186.46,USD,Adyen,Mid-Market,succeeded,71897539-424
TX000078,2024-01-12,CUST0277,subscription_monthly,189.07,USD,Flutterwave,SMB,succeeded,9F3DBFBB-0B8
TX000079,2024-01-12,CUST0229,subscription_monthly,124.83,USD,Stripe,Mid-Market,succeeded,17D59256-ED8
TX000080,2024-01-12,CUST0171,transaction_fee,8.75,USD,Adyen,SMB,succeeded,95A742E8-617
TX000081,2024-01-13,CUST0223,subscription_monthly,37.57,USD,Adyen,SMB,succeeded,1D88CABD-C81
TX000082,2024-01-13,CUST0213,subscription_annual,1433.0,USD,Square,SMB,succeeded,C9EC0708-663
TX000083,2024-01-13,CUST0282,subscription_monthly,51.83,USD,Stripe,SMB,succeeded,88845DDA-D4A
TX000084,2024-01-13,CUST0041,subscription_monthly,192.85,USD,PayPal,SMB,succeeded,EC3E959B-743
TX000085,2024-01-13,CUST0122,subscription_monthly,266.86,USD,Adyen,SMB,succeeded,3454BE03-C20
TX000086,2024-01-13,CUST0227,subscription_monthly,267.39,USD,Stripe,SMB,succeeded,833573CC-551
TX000087,2024-01-14,CUST0294,transaction_fee,99.2,USD,Adyen,SMB,succeeded,E03F3FD5-DA6
TX000088,2024-01-14,CUST0088,transaction_fee,32.47,USD,Stripe,Mid-Market,succeeded,59D35599-9BE
TX000089,2024-01-14,CUST0267,transaction_fee,129.59,USD,Adyen,Mid-Market,succeeded,5D5B1F66-509
