revenue_record_id,transaction_id,booking_date,customer_id,product,booked_amount_usd,revenue_category,mismatch_type
REV000001,TX000001,2024-01-01,CUST0183,subscription_annual,942.04,Recurring Revenue,matched
REV000002,TX000002,2024-01-01,CUST0057,api_usage,24.97,Usage Revenue,matched
REV000003,TX000003,2024-01-01,CUST0145,subscription_monthly,140.02,Recurring Revenue,matched
REV000004,TX000004,2024-01-01,CUST0423,subscription_monthly,64.12,Recurring Revenue,matched
REV000005,TX000005,2024-01-01,CUST0090,subscription_monthly,35.05,Recurring Revenue,matched
REV000006,TX000006,2024-01-01,CUST0452,subscription_monthly,126.32,Recurring Revenue,matched
REV000007,TX000007,2024-01-01,CUST0311,subscription_annual,2406.09,Recurring Revenue,matched
REV000008,TX000008,2024-01-01,CUST0045,api_usage,285.26,Usage Revenue,matched
REV000009,TX000009,2024-01-01,CUST0460,subscription_monthly,113.45,Recurring Revenue,matched
REV000010,TX000010,2024-01-02,CUST0257,subscription_monthly,205.67,Recurring Revenue,matched
REV000011,TX000011,2024-01-02,CUST0021,subscription_annual,916.45,Recurring Revenue,matched
REV000012,TX000012,2024-01-02,CUST0467,api_usage,12.12,Usage Revenue,matched
REV000013,TX000013,2024-01-02,CUST0021,subscription_monthly,235.38,Recurring Revenue,matched
REV000014,TX000014,2024-01-02,CUST0052,subscription_annual,1974.11,Recurring Revenue,matched
REV000015,TX000015,2024-01-02,CUST0338,subscription_monthly,234.82,Recurring Revenue,matched
REV000016,TX000016,2024-01-03,CUST0171,subscription_monthly,39.51,Recurring Revenue,matched
REV000017,TX000017,2024-01-03,CUST0436,professional_services,4267.04,Services Revenue,matched
REV000018,TX000018,2024-01-03,CUST0067,professional_services,3203.01,Services Revenue,amount_mismatch
REV000019,TX000019,2024-01-03,CUST0113,subscription_monthly,181.12,Recurring Revenue,matched
REV000020,TX000020,2024-01-04,CUST0300,professional_services,3310.76,Services Revenue,matched
REV000021,TX000021,2024-01-04,CUST0160,transaction_fee,129.8,Transaction Revenue,matched
REV000022,TX000022,2024-01-04,CUST0266,api_usage,295.53,Usage Revenue,matched
REV000023,TX000023,2024-01-04,CUST0320,subscription_annual,1858.57,Recurring Revenue,matched
REV000024,TX000024,2024-01-04,CUST0232,subscription_annual,2964.83,Recurring Revenue,matched
REV000025,TX000025,2024-01-04,CUST0463,subscription_annual,2333.17,Recurring Revenue,matched
REV000026,TX000026,2024-01-04,CUST0325,transaction_fee,66.9,Transaction Revenue,matched
REV000027,TX000027,2024-01-04,CUST0068,subscription_monthly,220.0,Recurring Revenue,matched
REV000028,TX000028,2024-01-05,CUST0028,subscription_monthly,134.09,Recurring Revenue,matched
REV000029,TX000029,2024-01-05,CUST0437,subscription_monthly,90.8,Recurring Revenue,matched
REV000030,TX000030,2024-01-05,CUST0116,transaction_fee,89.93,Transaction Revenue,matched
REV000031,TX000031,2024-01-05,CUST0051,subscription_monthly,279.61,Recurring Revenue,matched
REV000032,TX000032,2024-01-05,CUST0181,transaction_fee,139.44,Transaction Revenue,matched
REV000033,TX000033,2024-01-05,CUST0260,professional_services,2038.57,Services Revenue,matched
REV000034,TX000034,2024-01-05,CUST0079,subscription_monthly,171.47,Recurring Revenue,matched
REV000035,TX000035,2024-01-05,CUST0273,transaction_fee,32.53,Transaction Revenue,matched
REV000036,TX000036,2024-01-06,CUST0108,subscription_annual,2978.2,Recurring Revenue,matched
REV000037,TX000037,2024-01-06,CUST0451,api_usage,490.65,Usage Revenue,matched
REV000038,TX000038,2024-01-06,CUST0074,subscription_monthly,204.37,Recurring Revenue,matched
REV000039,TX000039,2024-01-06,CUST0175,transaction_fee,120.86,Transaction Revenue,matched
REV000040,TX000040,2024-01-07,CUST0490,transaction_fee,107.55,Transaction Revenue,matched
REV000041,TX000041,2024-01-07,CUST0184,api_usage,298.61,Usage Revenue,matched
REV000042,TX000043,2024-01-07,CUST0274,subscription_annual,1517.86,Recurring Revenue,matched
REV000043,TX000044,2024-01-07,CUST0129,transaction_fee,101.54,Transaction Revenue,matched
REV000044,TX000045,2024-01-07,CUST0291,api_usage,340.38,Usage Revenue,matched
REV000045,TX000046,2024-01-07,CUST0320,subscription_annual,1297.43,Recurring Revenue,matched
REV000046,TX000047,2024-01-08,CUST0186,subscription_monthly,283.26,Recurring Revenue,matched
REV000047,TX000048,2024-01-08,CUST0479,api_usage,87.84,Usage Revenue,matched
REV000048,TX000049,2024-01-08,CUST0059,transaction_fee,75.55,Transaction Revenue,matched
REV000049,TX000050,2024-01-08,CUST0492,transaction_fee,103.94,Transaction Revenue,matched
REV000050,TX000051,2024-01-08,CUST0001,subscription_monthly,217.23,Recurring Revenue,matched
REV000051,TX000052,2024-01-08,CUST0131,transaction_fee,97.65,Transaction Revenue,matched
REV000052,TX000053,2024-01-09,CUST0067,subscription_monthly,103.33,Recurring Revenue,matched
REV000053,TX000054,2024-01-09,CUST0293,transaction_fee,24.27,Transaction Revenue,matched
REV000054,TX000055,2024-01-09,CUST0467,subscription_monthly,200.7,Recurring Revenue,matched
REV000055,TX000056,2024-01-09,CUST0285,transaction_fee,90.3,Transaction Revenue,matched
REV000056,TX000057,2024-01-09,CUST0089,professional_services,1307.1,Services Revenue,matched
REV000057,TX000058,2024-01-09,CUST0417,subscription_monthly,219.39,Recurring Revenue,matched
REV000058,TX000059,2024-01-09,CUST0100,professional_services,2548.27,Services Revenue,matched
